BusStopCode,RoadName,Description,FullName,Latitude,Longitude
44279,Teck Whye Ave,Blk 157,44279 - Blk 157,1.37911,103.75635
44281,Teck Whye Ave,Blk 8,44281 - Blk 8,1.38105,103.75423
44289,Teck Whye Ave,Blk 6,44289 - Blk 6,1.3814,103.7538
44291,Teck Whye Ave,Opp CCK Polyclinic,44291 - Opp CCK Polyclinic,1.38152,103.7514
44299,Teck Whye Ave,CCK Polyclinic,44299 - CCK Polyclinic,1.38177,103.75131
44301,Bangkit Rd,Opp Blk 271,44301 - Opp Blk 271,1.37747,103.77388
44311,Bangkit Rd,Opp Blk 253,44311 - Opp Blk 253,1.3793,103.77435
44321,Bt Panjang Ring Rd,Opp Bangkit Stn,44321 - Opp Bangkit Stn,1.37987,103.77232
44329,Bt Panjang Ring Rd,Bangkit Stn,44329 - Bangkit Stn,1.38022,103.77258
44331,Fajar Rd,Blk 239,44331 - Blk 239,1.38022,103.77085
44339,Fajar Rd,Blk 442D,44339 - Blk 442D,1.38085,103.77115
44341,Fajar Rd,Blk 401A CP,44341 - Blk 401A CP,1.38117,103.76918
44349,Fajar Rd,Bet Blks 443A/443B,44349 - Bet Blks 443A/443B,1.38133,103.76933
44351,Petir Rd,Aft Chestnut Ave,44351 - Aft Chestnut Ave,1.36823,103.77559
44359,Petir Rd,Bef Chestnut Ave,44359 - Bef Chestnut Ave,1.36773,103.77531
44361,Petir Rd,Opp Dairy Farm Mall,44361 - Opp Dairy Farm Mall,1.36635,103.77555
44369,Petir Rd,Dairy Farm Mall,44369 - Dairy Farm Mall,1.36586,103.77534
44371,Petir Rd,Blk 219,44371 - Blk 219,1.37402,103.77264
44379,Petir Rd,Opp Blk 219,44379 - Opp Blk 219,1.37355,103.77294
44381,Petir Rd,Blk 202,44381 - Blk 202,1.37242,103.77441
44389,Petir Rd,Opp Blk 201,44389 - Opp Blk 201,1.37154,103.77462
44391,Choa Chu Kang Dr,Aft Blk 202,44391 - Aft Blk 202,1.38289,103.74831
44399,Choa Chu Kang Dr,Opp Blk 210,44399 - Opp Blk 210,1.38306,103.74851
44411,Teck Whye Lane,Blk 108,44411 - Blk 108,1.37853,103.75323
44421,Teck Whye Lane,Blk 25,44421 - Blk 25,1.37821,103.75508
44439,Teck Whye Lane,Blk 9,44439 - Blk 9,1.37984,103.7543
44441,Choa Chu Kang Way,Blk 239,44441 - Blk 239,1.37924,103.74754
44449,Choa Chu Kang Way,Palm Gdns,44449 - Palm Gdns,1.37889,103.74763
44451,Choa Chu Kang Way,Bef South View Stn,44451 - Bef South View Stn,1.38077,103.74424
44459,Choa Chu Kang Way,Opp South View Stn,44459 - Opp South View Stn,1.38029,103.74455
44461,Choa Chu Kang Way,Blk 352,44461 - Blk 352,1.38257,103.743
44469,Choa Chu Kang Way,Blk 414,44469 - Blk 414,1.38244,103.74275
44471,Choa Chu Kang Ctrl,Blk 234,44471 - Blk 234,1.38047,103.74802
44479,Choa Chu Kang Ctrl,Blk 206,44479 - Blk 206,1.38048,103.74828
44481,Choa Chu Kang Ctrl,Blk 223,44481 - Blk 223,1.38184,103.74496
44489,Choa Chu Kang Ctrl,Blk 220,44489 - Blk 220,1.38183,103.74531
44491,Choa Chu Kang Ave 4,Bet Blks 416/417,44491 - Bet Blks 416/417,1.38353,103.74185
44499,Choa Chu Kang Ave 4,Blk 429A Cp,44499 - Blk 429A Cp,1.38321,103.74097
44501,Choa Chu Kang Ave 4,Blk 426,44501 - Blk 426,1.38087,103.7388
44509,Choa Chu Kang Ave 4,Blk 442,44509 - Blk 442,1.38081,103.73845
44511,Choa Chu Kang Ave 3,Blk 289,44511 - Blk 289,1.37984,103.74107
44519,Choa Chu Kang Ave 3,Blk 408,44519 - Blk 408,1.37915,103.73971
44521,Choa Chu Kang Ave 3,Blk 280,44521 - Blk 280,1.38085,103.74261
44529,Choa Chu Kang Ave 3,Blk 410,44529 - Blk 410,1.38057,103.74177
44531,Choa Chu Kang Ave 4,Opp Choa Chu Kang Stn,44531 - Opp Choa Chu Kang Stn,1.38425,103.74454
44539,Choa Chu Kang Ave 4,Lot 1/Choa Chu Kang Stn,44539 - Lot 1/Choa Chu Kang Stn,1.38463,103.74502
44541,Choa Chu Kang Dr,Northvale Condo,44541 - Northvale Condo,1.38764,103.74594
44549,Choa Chu Kang Dr,Opp Northvale Condo,44549 - Opp Northvale Condo,1.38749,103.74619
44551,Choa Chu Kang Ave 5,Opp Blk 486,44551 - Opp Blk 486,1.37602,103.73843
44559,Choa Chu Kang Ave 5,Blk 483,44559 - Blk 483,1.37621,103.73789
44561,Choa Chu Kang Ave 2,Opp Blk 295,44561 - Opp Blk 295,1.37799,103.7412
44569,Choa Chu Kang Ave 2,Blk 295,44569 - Blk 295,1.37812,103.74122
