MRTStopCode,MRTStopName,Type,FullName,Latitude,Longitude
EW33,TUAS LINK MRT STATION,MRT,Tuas Link (EW33),1.340463765648207,103.63687867834884
EW30,GUL CIRCLE MRT STATION,MRT,Gul Circle (EW30),1.3195052149382065,103.660552955908
NS9/TE2,WOODLANDS MRT STATION,MRT,Woodlands (NS9 / TE2),1.4368751282107552,103.78648513490744
EW31,TUAS CRESCENT MRT STATION,MRT,Tuas Crescent (EW31),1.3210265532422654,103.64907547830892
EW10,KALLANG MRT STATION,MRT,Kallang (EW10),1.3114889096421625,103.87138654135926
EW32,TUAS WEST ROAD MRT STATION,MRT,Tuas West Road (EW32),1.3299890890491357,103.63961405603035
EW21/CC22,BUONA VISTA MRT STATION,MRT,Buona Vista (EW21 / CC22),1.307183466547333,103.79019153517372
EW22,DOVER MRT STATION,MRT,Dover (EW22),1.3114052929253075,103.77863784163792
NS11,SEMBAWANG MRT STATION,MRT,Sembawang (NS11),1.4490508212272943,103.82004614054829
EW6,KEMBANGAN MRT STATION,MRT,Kembangan (EW6),1.3210382488510848,103.9129493883634
NS2,BUKIT BATOK MRT STATION,MRT,Bukit Batok (NS2),1.3490341085766733,103.74956676385231
EW27,BOON LAY MRT STATION,MRT,Boon Lay (EW27),1.3386040545032738,103.70606462259596
NS3,BUKIT GOMBAK MRT STATION,MRT,Bukit Gombak (NS3),1.3587618572614455,103.75189350208204
NS8,MARSILING MRT STATION,MRT,Marsiling (NS8),1.4325144206356422,103.77407146126208
EW5,BEDOK MRT STATION,MRT,Bedok (EW5),1.3239799688877467,103.92998449462056
EW29,JOO KOON MRT STATION,MRT,Joo Koon (EW29),1.32771717309168,103.67837514285053
EW26,LAKESIDE MRT STATION,MRT,Lakeside (EW26),1.3442592493946972,103.72094926847876
